City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
292,Fastovetskaya,RU,45.9189,40.1589,28.15,91,96,4.38,light snow
293,Gasa,PS,31.5,34.4667,64.99,100,0,8.5,clear sky
294,Middletown,US,39.5151,-84.3983,14.0,73,1,9.22,clear sky
295,Eureka,US,40.8021,-124.1637,45.0,90,1,5.35,clear sky
296,Mahon,ES,39.8885,4.2658,50.0,87,75,11.5,broken clouds
297,Sterlibashevo,RU,53.4376,55.2578,-6.16,89,100,14.05,overcast clouds
298,Biak,ID,-0.9131,122.8766,77.85,81,100,1.43,light rain
299,Porto Novo,BJ,6.4965,2.6036,89.6,70,20,16.11,few clouds
300,Itarema,BR,-2.9248,-39.9167,89.78,53,4,14.65,clear sky
301,Bogandinskiy,RU,56.8937,65.8938,6.8,78,75,15.66,snow
302,Shimoda,JP,34.6667,138.95,43.0,54,0,1.01,clear sky
303,Hobyo,SO,5.3505,48.5268,79.23,71,0,19.24,clear sky
304,Tucuman,AR,-26.8241,-65.2226,82.4,57,0,3.44,clear sky
305,Parrita,CR,9.5201,-84.3225,78.8,60,20,12.66,few clouds
306,Litovko,RU,49.2361,135.1742,-2.9,90,99,4.52,overcast clouds
307,Victor Harbor,AU,-35.5667,138.6167,57.99,93,44,14.65,scattered clouds
308,Sao Filipe,CV,14.8961,-24.4956,71.56,65,58,11.56,broken clouds
309,Krasnoselkup,RU,65.7,82.4667,3.13,94,100,18.45,light snow
310,Andenes,NO,69.3143,16.1194,32.0,69,75,25.32,broken clouds
311,Les Cayes,HT,18.2,-73.75,80.51,66,46,15.75,scattered clouds
312,Fortuna,US,40.5982,-124.1573,45.0,93,90,4.32,overcast clouds
313,Khatanga,RU,71.9667,102.5,-31.67,79,0,9.17,clear sky
314,Muros,ES,42.7762,-9.0603,51.01,92,100,5.99,overcast clouds
315,Soe,ID,-9.8607,124.284,66.6,100,100,3.09,overcast clouds
316,Ust-Tsilma,RU,65.441,52.1498,-24.63,84,100,9.98,overcast clouds
317,Vostok,RU,46.4856,135.8833,-12.33,91,100,2.73,light snow
318,Iranshahr,IR,27.2025,60.6848,77.0,15,0,5.06,clear sky
319,Geraldton,AU,-28.7667,114.6,69.8,78,75,10.36,broken clouds
320,Iwanai,JP,42.9744,140.5089,21.92,95,99,10.0,snow
